newsletter_name,author,url,platform,category,coverage_scope,language,paid_or_free,description
The Line,Jen Gerson & Matt Guerin,https://www.readtheline.ca/,Substack,Politics / Opinion,National,English,Freemium,"Commentary for Canadians — centre-right political analysis and cultural criticism"
Paul Wells,Paul Wells,https://paulwells.substack.com/,Substack,Politics / Media,National,English,Freemium,"Veteran Ottawa journalist — federal politics and deep analysis of Canadian power"
The Writ,Eric Grenier,https://www.thewrit.ca/,Substack,Politics / Polling,National,English,Freemium,"Polling analysis and electoral projections and data journalism by former CBC/338Canada analyst"
338Canada,Philippe J. Fournier,https://www.338canada.ca/,Substack,Politics / Polling,National,English,Freemium,"Statistical model of Canadian electoral projections based on opinion polls and demographics"
Bug-eyed and Shameless,Justin Ling,https://www.bugeyedandshameless.com/,Substack,Investigative / Security,National,English,Freemium,"Investigative journalist covering national security and disinformation and far-right movements"
Lean Out,Tara Henley,https://tarahenley.substack.com/,Substack,Culture / Media,National,English,Freemium,"Former CBC journalist — commentary on media and culture and free expression in Canada"
The Bureau,Sam Cooper,https://www.thebureau.news/,Substack,Investigative / Security,National,English,Freemium,"Investigative journalist covering foreign interference and organized crime and national security"
Terry Glavin,Terry Glavin,https://terryglav.substack.com/,Substack,Politics / Foreign Affairs,National,English,Freemium,"Ottawa Citizen and National Post columnist — foreign affairs and Canada-China relations"
Routine Proceedings,Dale Smith,https://routine-proceedings.com/,Independent,Politics / Parliament,National,English,Free,"Daily recap of Parliament — what happened in the House of Commons and Senate"
Blacklock's Reporter,Holly Doan & Tom Korski,https://www.blacklocks.ca/,Independent,Politics / Policy,National,English,Paid,"Investigative reporting focused on federal government spending and Access to Information"
First Reading (National Post),Tristin Hopper,https://nationalpost.com/tag/first-reading/,Newsletter,General News / Politics,National,English,Free,"Daily newsletter from the National Post with curated top stories"
